Test	Confs. (features enabled)
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_WHATEVER, GUI, TOTAL_REDUCER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_NO_MANAGER, GUI, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	TOTAL_REDUCER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_NO_DEPARTMENT, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_NO_DEPARTMENT
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	GUI, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_NO_MANAGER, GUI
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_WHATEVER, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_NO_MANAGER, GUI
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_NO_MANAGER, TOTAL_REDUCER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_WHATEVER, GUI, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_NO_DEPARTMENT, GUI
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_NO_MANAGER, GUI, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, GUI, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	GUI
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_WHATEVER, TOTAL_WALKER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_NO_MANAGER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_NO_DEPARTMENT, TOTAL_REDUCER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_WHATEVER, GUI
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_WHATEVER, TOTAL_REDUCER
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	CUT_WHATEVER, GUI
tests.Pilot_CommandLine.test5(Pilot_CommandLine.java:36)	ACCESS_CONTROL, CUT_NO_DEPARTMENT, GUI, TOTAL_REDUCER
