Test	Confs. (features enabled)
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, DIRECTED, SEARCH
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, DIRECTED, NUMBER, SEARCH
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:233)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:37)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:40)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:40)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:40)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:40)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:40)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:40)	BFS, DIRECTED, NUMBER, SEARCH
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:40)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:45)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:45)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:45)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
