Test	Confs. (features enabled)
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	NUMBER, UNDIRECTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	UNDIRECTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	DIRECTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	DIRECTED, NUMBER
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	UNDIRECTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	CONNECTED, NUMBER, UNDIRECTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	DIRECTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	NUMBER, UNDIRECTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	DIRECTED, NUMBER
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	CONNECTED, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	DIRECTED, NUMBER
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	CONNECTED, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	NUMBER, UNDIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	DIRECTED
tests.CycleRelated_Caio.CycleSpaceRelated(CycleRelated_Caio.java:55)	CONNECTED, NUMBER, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED, NUMBER
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:130)	DIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	CONNECTED, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	NUMBER, UNDIRECTED
tests.CycleRelated_Caio.undirectedAddEdge(CycleRelated_Caio.java:133)	CONNECTED, NUMBER, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	CONNECTED, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	DIRECTED, NUMBER
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	DIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	CONNECTED, NUMBER, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:94)	NUMBER, UNDIRECTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	MSTPRIM, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	DIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	DIRECTED, NUMBER, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	CONNECTED, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	DIRECTED, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	DIRECTED, NUMBER
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	CONNECTED, UNDIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	NUMBER, UNDIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	UNDIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	DIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	UNDIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	DIRECTED
tests.MultiFeatureTest_Caio.bftSearch(MultiFeatureTest_Caio.java:236)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	CONNECTED, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	DIRECTED, NUMBER
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.CheckNeighborT(MultiFeatureTest_Caio.java:220)	DIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, NUMBER, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, NUMBER, SEARCH
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	MSTPRIM, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	NUMBER, UNDIRECTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	NUMBER, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.MultiFeatureTest_Caio.displayTest(MultiFeatureTest_Caio.java:38)	DIRECTED, SHORTEST, WEIGHTED
