Test	Confs. (features enabled)
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	DIRECTED, NUMBER, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, SEARCH, UNDIRECTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	MSTPRIM, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, DIRECTED, SEARCH
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, DIRECTED, NUMBER, SEARCH
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	DIRECTED, SHORTEST, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	DIRECTED, WEIGHTED
tests.ConnectedTests_Caio.ConnectedRelated(ConnectedTests_Caio.java:37)	NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	CONNECTED, MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	DIRECTED, NUMBER, SHORTEST, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, SEARCH, UNDIRECTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	MSTKRUSKAL, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	DIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, DIRECTED, SEARCH, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, DIRECTED, SEARCH
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	CONNECTED, MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	MSTPRIM, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, DIRECTED, SEARCH, SHORTEST, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	CONNECTED, UNDIRECTED, WEIGHTED
tests.ConnectedTests_Caio.StronglyConnected(ConnectedTests_Caio.java:70)	DIRECTED, SHORTEST, WEIGHTED
