Test	Confs. (features enabled)
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, CRC
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	EXTRACT
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	CRC
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, COMPRESS, EXTRACT
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, COMPRESS
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	COMPRESS, EXTRACT
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	COMPRESS
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Addler32CheckSumTest.InflaterAdlerTests(Addler32CheckSumTest.java:72)	ARCHIVECHECK, EXTRACT
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	COMPRESS
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	ARCHIVECHECK, COMPRESS, EXTRACT
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	ARCHIVECHECK, COMPRESS
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	COMPRESS, EXTRACT
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.CompressAdlerCSTests.test1(CompressAdlerCSTests.java:39)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCRC(Example_Paulo.java:119)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testDERIVATIVE_COMPRESS_CRC(Example_Paulo.java:76)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testDERIVATIVE_COMPRESS_CRC(Example_Paulo.java:76)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testDERIVATIVE_COMPRESS_CRC(Example_Paulo.java:76)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testDERIVATIVE_COMPRESS_CRC(Example_Paulo.java:76)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testDERIVATIVE_COMPRESS_CRC(Example_Paulo.java:76)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
