Test	Confs. (features enabled)
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, CRC
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, CRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, COMPRESS
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	CRC
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, ARCHIVECHECK, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	CRC, DERIVATIVE_EXTRACT_CRC, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, CRC, DERIVATIVE_EXTRACT_CRC, DERIVATIVE_GZIPCRC, EXTRACT, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	COMPRESS, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	COMPRESS, CRC, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, COMPRESS, CRC, DERIVATIVE_COMPRESS_ADLER32CHECKSUM, DERIVATIVE_COMPRESS_CRC, DERIVATIVE_COMPRESS_GZIP, DERIVATIVE_COMPRESS_GZIPCRC, DERIVATIVE_GZIPCRC, GZIP
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	COMPRESS
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ADLER32CHECKSUM, CRC
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	ARCHIVECHECK, COMPRESS, EXTRACT
tests.Example_Paulo.testCOMPRESS__(Example_Paulo.java:87)	CRC, DERIVATIVE_GZIPCRC, GZIP
